food_key,classification,derivation,food_name,canonical_name,basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,calcium_mg,iron_mg,source
F002258,31302,Borrowed,"Cardamom seed, dried, ground",cardamom seed ground,per_100_g,1236.0,295.41,10.8,6.7,34.4,4.4,28.0,18.0,383.0,13.97,AFCD Release 3
F002963,31302,Borrowed,"Cinnamon, dried, ground",cinnamon ground,per_100_g,1004.0,239.96,4.0,1.2,27.5,2.2,53.1,10.0,1002.0,8.32,AFCD Release 3
F002893,31302,Borrowed,"Chilli (chili), dried, ground",chilli chili ground,per_100_g,1224.0,292.54,12.3,14.3,12.9,7.2,34.2,68.0,278.0,14.3,AFCD Release 3
F002970,31302,Borrowed,"Cloves, dried, ground",clove ground,per_100_g,1389.0,331.98,6.0,13.0,31.6,2.4,33.9,277.0,632.0,11.83,AFCD Release 3
F003190,31302,Borrowed,"Coriander seed, dried, ground",coriander seed ground,per_100_g,1344.0,321.22,12.4,17.8,8.4,2.4,41.9,35.0,709.0,16.32,AFCD Release 3
F003327,31302,Borrowed,"Cumin (cummin) seed, dried, ground",cumin cummin seed ground,per_100_g,1782.0,425.91,17.8,22.3,33.7,2.2,10.5,168.0,931.0,66.36,AFCD Release 3
F003337,31302,Borrowed,Curry powder,curry powder,per_100_g,1231.0,294.22,14.3,14.0,2.8,2.8,53.2,52.0,525.0,19.1,AFCD Release 3
F003821,31302,Borrowed,"Fenugreek seed, dried",fenugreek seed,per_100_g,1080.0,258.13,23.0,6.4,4.2,0.6,47.6,67.0,176.0,33.53,AFCD Release 3
F004210,31302,Borrowed,"Ginger, dried, ground",ginger ground,per_100_g,1397.0,333.89,9.0,4.2,57.5,3.4,14.1,27.0,114.0,19.8,AFCD Release 3
F005972,31302,Analysed,Mustard powder,mustard powder,per_100_g,2289.0,547.08,29.4,39.5,17.2,5.0,5.0,3.0,160.0,7.0,AFCD Release 3
F006118,31302,Borrowed,"Nutmeg, dried, ground",nutmeg ground,per_100_g,2090.0,499.52,5.8,36.3,28.5,3.0,20.8,16.0,184.0,3.04,AFCD Release 3
F006281,31302,Borrowed,"Oregano, dried",oregano,per_100_g,1096.0,261.95,9.0,4.3,26.4,4.1,42.5,25.0,1597.0,36.8,AFCD Release 3
F006316,31302,Borrowed,"Paprika, dry powder",paprika powder,per_100_g,1311.0,313.34,14.1,12.9,19.1,10.3,34.9,68.0,229.0,21.14,AFCD Release 3
F006618,31302,Borrowed,"Pepper, black, ground",pepper ground,per_100_g,1156.0,276.29,10.4,3.3,38.6,0.6,25.3,20.0,443.0,9.71,AFCD Release 3
F007715,31302,Borrowed,"Rosemary, dried",rosemary,per_100_g,1314.0,314.05,4.9,15.2,20.4,19.6,42.6,50.0,1280.0,29.25,AFCD Release 3
F007726,31302,Borrowed,"Sage, dried",sage,per_100_g,1320.0,315.49,10.6,12.8,20.4,1.7,40.3,11.0,1652.0,28.12,AFCD Release 3
F009160,31302,Borrowed,"Thyme, dried, ground",thyme ground,per_100_g,1182.0,282.51,9.1,7.4,26.9,1.7,37.0,55.0,1890.0,123.6,AFCD Release 3
F009335,31302,Borrowed,"Turmeric, dried, ground",turmeric ground,per_100_g,1219.0,291.35,9.7,3.2,44.4,3.2,22.7,27.0,168.0,55.0,AFCD Release 3
F007870,31301,Imputed,"Salt substitute, potassium chloride",salt substitute potassium chloride,per_100_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,AFCD Release 3
F007878,31301,Analysed,"Salt, table, iodised",salt table iodised,per_100_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38168.0,34.0,0.0,AFCD Release 3
F007879,31301,Analysed,"Salt, table, non-iodised",salt table non iodised,per_100_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38178.0,34.0,0.0,AFCD Release 3
F008933,31303,Analysed,"Stock, dry powder or cube",stock powder or cube,per_100_g,900.0,215.11,11.3,8.9,22.5,4.3,0.0,18400.0,71.0,2.5,AFCD Release 3
F008936,31304,Recipe,"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube",stock liquid all flavour except fish prepared from powder or cube,per_100_g,18.0,4.3,0.2,0.2,0.4,0.1,0.0,362.0,3.0,0.05,AFCD Release 3
F009072,31303,Analysed,"Taco seasoning mix, chilli-based",taco seasoning mix chilli based,per_100_g,1335.0,319.07,6.2,4.8,58.1,28.5,8.7,6238.0,240.0,6.3,AFCD Release 3
F000247,31501,Recipe,"Baking powder, dry powder",baking powder powder,per_100_g,364.0,87.0,0.8,0.3,19.8,0.0,0.4,6868.0,6.0,2.02,AFCD Release 3
F000248,31501,Borrowed,"Baking soda (bicarbonate), dry powder",baking soda bicarbonate powder,per_100_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27360.0,0.0,0.0,AFCD Release 3
F003250,31501,Borrowed,"Cream of tartar, dry powder",cream tartar powder,per_100_g,2.0,0.48,0.0,0.0,0.0,0.0,0.2,52.0,8.0,3.72,AFCD Release 3
F005158,31501,Analysed,"Lecithin, soy, granules",lecithin soy granule,per_100_g,2620.0,626.2,6.0,62.4,4.9,4.4,15.1,11.0,120.0,1.5,AFCD Release 3
F004196,31502,Analysed,"Gelatine, all types",gelatine all type,per_100_g,1449.0,346.32,84.4,0.4,0.0,0.0,0.0,330.0,250.0,2.1,AFCD Release 3
