period,series_id,measure,cpi_category,geography,unit,series_type,data_type,value,source_file
2024-04-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.4,640103.xlsx
2024-05-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.17,640103.xlsx
2024-06-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.52,640103.xlsx
2024-07-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.77,640103.xlsx
2024-08-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.49,640103.xlsx
2024-09-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.54,640103.xlsx
2024-10-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.32,640103.xlsx
2024-11-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,96.68,640103.xlsx
2024-12-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,97.31,640103.xlsx
2025-01-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,97.58,640103.xlsx
2025-02-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,97.67,640103.xlsx
2025-03-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,97.96,640103.xlsx
2025-04-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,98.68,640103.xlsx
2025-05-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,98.2,640103.xlsx
2025-06-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,98.34,640103.xlsx
2025-07-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,99.63,640103.xlsx
2025-08-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,99.55,640103.xlsx
2025-09-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,100.0,640103.xlsx
2025-10-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,99.99,640103.xlsx
2025-11-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,100.01,640103.xlsx
2025-12-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,100.97,640103.xlsx
2026-01-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,101.33,640103.xlsx
2026-02-01,A130393720C,Index Numbers,All groups CPI,Australia,Index Numbers,Original,INDEX,101.31,640103.xlsx
2024-04-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,96.18,640103.xlsx
2024-05-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,96.61,640103.xlsx
2024-06-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,96.48,640103.xlsx
2024-07-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,97.16,640103.xlsx
2024-08-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,97.36,640103.xlsx
2024-09-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,96.89,640103.xlsx
2024-10-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,97.03,640103.xlsx
2024-11-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,97.32,640103.xlsx
2024-12-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,97.56,640103.xlsx
2025-01-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,98.36,640103.xlsx
2025-02-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,98.23,640103.xlsx
2025-03-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,98.89,640103.xlsx
2025-04-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,99.27,640103.xlsx
2025-05-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,99.38,640103.xlsx
2025-06-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,99.81,640103.xlsx
2025-07-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.16,640103.xlsx
2025-08-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.26,640103.xlsx
2025-09-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.0,640103.xlsx
2025-10-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.15,640103.xlsx
2025-11-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.53,640103.xlsx
2025-12-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,100.91,640103.xlsx
2026-01-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,101.42,640103.xlsx
2026-02-01,A130395477A,Index Numbers,Food and non-alcoholic beverages,Australia,Index Numbers,Original,INDEX,101.28,640103.xlsx
2017-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.41,640103.xlsx
2017-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.94,640103.xlsx
2017-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.32,640103.xlsx
2017-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.96,640103.xlsx
2018-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.81,640103.xlsx
2018-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.95,640103.xlsx
2018-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.17,640103.xlsx
2018-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.88,640103.xlsx
2018-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.81,640103.xlsx
2018-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.65,640103.xlsx
2018-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.07,640103.xlsx
2018-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,73.98,640103.xlsx
2018-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.1,640103.xlsx
2018-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.56,640103.xlsx
2018-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,74.39,640103.xlsx
2018-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,75.31,640103.xlsx
2019-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,75.46,640103.xlsx
2019-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,75.73,640103.xlsx
2019-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,76.26,640103.xlsx
2019-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,76.38,640103.xlsx
2019-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,75.62,640103.xlsx
2019-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,76.23,640103.xlsx
2019-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,76.3,640103.xlsx
2019-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,77.38,640103.xlsx
2019-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,77.23,640103.xlsx
2019-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,77.4,640103.xlsx
2019-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,77.65,640103.xlsx
2019-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.48,640103.xlsx
2020-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.48,640103.xlsx
2020-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.32,640103.xlsx
2020-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,80.76,640103.xlsx
2020-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,81.58,640103.xlsx
2020-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,80.02,640103.xlsx
2020-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.13,640103.xlsx
2020-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.26,640103.xlsx
2020-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.96,640103.xlsx
2020-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.68,640103.xlsx
2020-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.02,640103.xlsx
2020-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.4,640103.xlsx
2020-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.4,640103.xlsx
2021-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.74,640103.xlsx
2021-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.3,640103.xlsx
2021-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.16,640103.xlsx
2021-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.31,640103.xlsx
2021-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.45,640103.xlsx
2021-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.11,640103.xlsx
2021-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,78.98,640103.xlsx
2021-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.35,640103.xlsx
2021-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.22,640103.xlsx
2021-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,79.46,640103.xlsx
2021-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,80.1,640103.xlsx
2021-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,80.73,640103.xlsx
2022-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,81.15,640103.xlsx
2022-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,81.01,640103.xlsx
2022-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,82.56,640103.xlsx
2022-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,83.44,640103.xlsx
2022-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,83.86,640103.xlsx
2022-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,84.88,640103.xlsx
2022-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,85.69,640103.xlsx
2022-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,86.87,640103.xlsx
2022-09-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,88.5,640103.xlsx
2022-10-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,88.97,640103.xlsx
2022-11-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,89.73,640103.xlsx
2022-12-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,91.2,640103.xlsx
2023-01-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,91.36,640103.xlsx
2023-02-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,91.16,640103.xlsx
2023-03-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,91.46,640103.xlsx
2023-04-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,93.01,640103.xlsx
2023-05-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,94.58,640103.xlsx
2023-06-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,94.13,640103.xlsx
2023-07-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,94.18,640103.xlsx
2023-08-01,A130391704T,Index Numbers,Bread and cereal products,Australia,Index Numbers,Original,INDEX,95.85,640103.xlsx
