line_no,raw_line,cleaned_name,qty,weight,unit,normalized_amount,matched_name,match_score
6,#Coca Cola Zero Sugar Soft Drink 1.25L,coca cola zero sugar soft drink,2,1.25,l,1250.0,coca cola,100.0
8,ANY 2 for $5.5@ -2.98,any for,1,,,,candy orange slices,85.71428571428572
9,*#Lipton Ice Tea Lemon No Sugar 1.5L 2.75,lipton ice tea lemon no sugar,1,1.5,l,1500.0,ice,100.0
10,*Obento Panko Bread Crumbs 20086 2.38,obento panko bread crumbs,1,,,,bread,100.0
11,Saaling Seas Fish Ball 508g 4.98,saaling seas fish ball,1,508.0,g,508.0,fish,100.0
12,Vainuage Sweet Challah Large 728g 5.88,vainuage sweet challah large,1,728.0,g,728.0,challah,100.0
13,ww RSPCA Chicken Breast Fillets Bulk 14.92,ww rspca chicken breast fillets,1,,,,chicken,100.0
14,Dolmio Pasta Sauce Tmt On Rst Gric 588g 4.68,dolmio pasta sauce tmt on rst gric,1,588.0,g,588.0,pasta,100.0
15,Tomato Cherry Red 25@g P/P 3.08,tomato cherry red,1,250.0,g,250.0,tomatoes,85.71428571428572
16,Picasso Pizza Dough Ball 25@g 2.88,picasso pizza dough ball,1,250.0,g,250.0,pizza dough,100.0
37,#Taxable Items,taxable items,1,,,,s,100.0
42,Earned today 4,earned today,1,,,,pear,85.71428571428572
50,BUY ANY 2 WINES FOR S22 & SAVE S18,buy any wines for s save s,1,,,,s,100.0
51,"Cormack Est KV Prosecco, Moorakyne Cab Sauv,",cormack est kv prosecco moorakyne cab sauv,1,,,,prosecco,100.0
52,"Small Yet Mighty McLaren Vale Shiraz,",small yet mighty mclaren vale shiraz,1,,,,ale,100.0
53,"Te Rua Bay Sauv Blanc, OR",te rua bay sauv blanc or,1,,,,s,100.0
54,Skywater Bay MR Chardonnay 75@m),skywater bay mr chardonnay m,1,,,,s,100.0
56,Guinness Draught Stout Cans 47@mL,guinness draught stout cans,1,470.0,ml,470.0,s,100.0
57,ONE 6 Pack $22,one pack,1,,,,sun dried tomatoes packed in oil,87.5
58,Strongbow Cider Cans 1@ pack varieties,strongbow cider cans pack varieties,1,,,,cider,100.0
59,ONE 16 Pack $20,one pack,1,,,,sun dried tomatoes packed in oil,87.5
60,Brack Lane Zero Carb Japanese Lager Cans 355mL,brack lane zero carb japanese lager cans,1,355.0,ml,355.0,s,100.0
61,ONE 6 Pack $15,one pack,1,,,,sun dried tomatoes packed in oil,87.5
63,No further discounts & limits apply. Over 18's only.,no further discounts limits apply over s only,1,,,,s,100.0
