line_no,raw_line,cleaned_name,qty,weight,unit,normalized_amount,matched_name,match_score
2,3153 Glen Huntly PH: 63 8347 5879,glen huntly ph,1,,,,,
3,Cnr Glen Huntly Rd and Manchester Grv,cnr glen huntly rd and manchester grv,1,,,,,
6,#Coca Cola Zero Sugar Soft Drink 1.25L,coca cola zero sugar soft drink,2,1.25,l,1250.0,,
9,*#Lipton Ice Tea Lemon No Sugar 1.5L 2.75,lipton ice tea lemon no sugar,1,1.5,l,1500.0,,
10,*Obento Panko Bread Crumbs 20086 2.38,obento panko bread crumbs,1,,,,panko breadcrumbs,80.95238095238095
11,Saaling Seas Fish Ball 508g 4.98,saaling seas fish ball,1,508.0,g,508.0,,
12,Vainuage Sweet Challah Large 728g 5.88,vainuage sweet challah large,1,728.0,g,728.0,,
13,ww RSPCA Chicken Breast Fillets Bulk 14.92,ww rspca chicken breast fillets,1,,,,chicken breast fillets,83.01886792452831
14,Dolmio Pasta Sauce Tmt On Rst Gric 588g 4.68,dolmio pasta sauce tmt on rst gric,1,588.0,g,588.0,,
15,Tomato Cherry Red 25@g P/P 3.08,tomato cherry red,1,250.0,g,250.0,green cherry tomatoes,84.21052631578947
16,Picasso Pizza Dough Ball 25@g 2.88,picasso pizza dough ball,1,250.0,g,250.0,,
21,GLEN HUNTLY VIC,glen huntly vic,1,,,,,
39,You saved $6.25,you saved,1,,,,,
40,Cookware Credits,cookware credits,1,,,,,
43,includes 2 Bonus Credits,includes bonus credits,1,,,,,
51,"Cormack Est KV Prosecco, Moorakyne Cab Sauv,",cormack est kv prosecco moorakyne cab sauv,1,,,,,
52,"Small Yet Mighty McLaren Vale Shiraz,",small yet mighty mclaren vale shiraz,1,,,,,
53,"Te Rua Bay Sauv Blanc, OR",te rua bay sauv blanc or,1,,,,,
54,Skywater Bay MR Chardonnay 75@m),skywater bay mr chardonnay m,1,,,,,
56,Guinness Draught Stout Cans 47@mL,guinness draught stout cans,1,470.0,ml,470.0,,
58,Strongbow Cider Cans 1@ pack varieties,strongbow cider cans pack varieties,1,,,,,
60,Brack Lane Zero Carb Japanese Lager Cans 355mL,brack lane zero carb japanese lager cans,1,355.0,ml,355.0,,
62,*All BWS offers T&C's at BWS.com.au/RR,all bws offers t c s at bws com au rr,1,,,,,
64,BEER OFFERS EXPIRE: 14.84.2026,beer offers expire,1,,,,,
65,WINE OFFERS EXPIRE: @5.05.2026,wine offers expire,1,,,,,
